County,Cumulative Deaths by End of Month,New Deaths During Month,Cumulative Confirmed Cases by End of Month,New Confirmed Cases During Month,Month,Year,Latitude,Longitude,Median Income,Income per Capita,Number of Poeple in Poverty,Median Age,Total Population,Total White Population,Total Black Population,Total American Indian Population,Total Asian Poulation,Total Population Identifying as 2+ Races,Total Hispanic Population,Total Pop Using Public Transit,Land Area (mi^2),Population Density (persons/mi^2),New Cases/ 100k People,New Deaths/ 100k People
Los Angeles,23919,775,1233505,13891,Apr,2021,34.31,-118.23,71358.0,35685.0,1401656.0,36.7,10040682.0,4795186.0,810286.0,78132.0,1488626.0,729532.0,4851344.0,257977.0,4058,2474.293247905372,138.34717601852145,7.718599194755893
Madera,235,6,17317,420,Apr,2021,37.22,-119.77,61924.0,23212.0,28062.0,34.1,155925.0,94643.0,4919.0,2503.0,3362.0,11853.0,90958.0,224.0,2137,72.96443612540945,269.3602693602694,3.8480038480038483
Marin,228,7,14144,307,Apr,2021,38.07,-122.72,121671.0,74446.0,17522.0,47.1,259441.0,199068.0,6001.0,673.0,15060.0,17433.0,41737.0,10060.0,520,498.925,118.33133544813657,2.6981086258532767
Mariposa,7,0,441,31,Apr,2021,37.58,-119.91,50960.0,29882.0,2668.0,51.8,17319.0,15134.0,266.0,392.0,186.0,765.0,2041.0,99.0,1449,11.952380952380953,178.99416825451817,0.0
Mendocino,46,1,3862,113,Apr,2021,39.44,-123.39,52915.0,30351.0,13929.0,43.4,87110.0,69709.0,424.0,3789.0,1740.0,6565.0,22354.0,67.0,3506,24.845978322875073,129.72104236023418,1.1479738261967627
Merced,444,21,31786,1031,Apr,2021,37.19,-120.72,56330.0,23677.0,50124.0,31.2,273661.0,139469.0,8190.0,2885.0,20881.0,16931.0,164836.0,948.0,1935,141.42687338501293,376.7434892074501,7.673727714215763
Modoc,3,0,481,17,Apr,2021,41.59,-120.72,51250.0,25578.0,1537.0,47.6,8853.0,7801.0,123.0,313.0,169.0,201.0,1317.0,0.0,3915,2.261302681992337,192.02530215746074,0.0
Mono,3,0,1275,13,Apr,2021,37.94,-118.89,64924.0,37103.0,1720.0,39.5,14395.0,11966.0,81.0,407.0,633.0,641.0,3893.0,1286.0,3049,4.7212200721548045,90.30913511635985,0.0
Monterey,379,41,44643,586,Apr,2021,36.22,-121.24,76943.0,32122.0,50052.0,34.7,432977.0,209849.0,11162.0,3072.0,25186.0,29647.0,255512.0,2438.0,3281,131.96494971045414,135.34206204948532,9.469325160458869
Napa,81,3,9832,401,Apr,2021,38.51,-122.33,92219.0,46912.0,10163.0,41.8,138572.0,98614.0,2862.0,961.0,10485.0,9742.0,47300.0,940.0,748,185.2566844919786,289.3802499783506,2.1649395260225734
Nevada,70,2,4810,348,Apr,2021,39.3,-120.76,68333.0,41079.0,9345.0,50.5,99417.0,91597.0,410.0,496.0,1108.0,4484.0,9480.0,81.0,958,103.77557411273486,350.0407374996228,2.011728376434614
Orange,4965,221,270194,3961,Apr,2021,33.7,-117.76,94441.0,43049.0,317682.0,38.3,3170345.0,1826960.0,54061.0,15552.0,667534.0,217089.0,1071393.0,27645.0,791,4008.0214917825538,124.9390839167346,6.970850175611802
Placer,287,16,23652,1518,Apr,2021,39.06,-120.72,93677.0,46023.0,27745.0,42.2,391799.0,314938.0,6310.0,2204.0,31938.0,24914.0,55932.0,1830.0,1407,278.4641080312722,387.4435616221583,4.083726604713131
Plumas,4,0,685,12,Apr,2021,40,-120.84,57233.0,34334.0,2310.0,51.9,18844.0,16679.0,279.0,350.0,232.0,941.0,1749.0,60.0,2553,7.381120250685468,63.68074718743367,0.0
Riverside,4412,241,300859,4327,Apr,2021,33.74,-115.99,70732.0,29913.0,300424.0,35.8,2437864.0,1358654.0,157908.0,18852.0,164464.0,190963.0,1204521.0,10987.0,7206,338.31029697474327,177.49144332907824,9.885703222164977
Sacramento,1602,83,104695,5529,Apr,2021,38.45,-121.34,70684.0,34078.0,210174.0,36.4,1537948.0,839349.0,148884.0,9505.0,256464.0,140768.0,360204.0,15579.0,965,1593.7284974093263,359.5050027699246,5.3968014523247865
San Benito,63,2,6139,173,Apr,2021,36.6,-121.07,85808.0,33841.0,5709.0,35.7,61547.0,45157.0,523.0,527.0,1745.0,7315.0,37015.0,171.0,1389,44.31029517638589,281.0859993175947,3.249549125058898
San Bernardino,4652,296,299657,5044,Apr,2021,34.84,-116.18,65761.0,26402.0,315656.0,33.6,2162532.0,1212480.0,176523.0,18369.0,159917.0,202057.0,1163038.0,11534.0,20057,107.8193149523857,233.2451034250591,13.68765872597492
San Diego,3706,151,290872,7014,Apr,2021,33.03,-116.74,82426.0,39737.0,353841.0,36.1,3323970.0,2213608.0,164042.0,24373.0,398526.0,286106.0,1126266.0,42978.0,4207,790.1045875921084,211.01273477197446,4.542760614566316
San Francisco,541,67,37741,1211,Apr,2021,37.75,-122.44,119136.0,72041.0,87125.0,38.3,874784.0,392476.0,44930.0,3800.0,300339.0,62702.0,132865.0,161085.0,47,18612.425531914894,138.43417346453523,7.6590335442806445
San Joaquin,1325,66,74782,2970,Apr,2021,37.93,-121.27,68628.0,28928.0,100689.0,34.4,751615.0,387165.0,53116.0,4695.0,119446.0,106196.0,313385.0,5006.0,1391,540.3414809489576,395.14911224496586,8.781091383221463
San Luis Obispo,254,3,21603,770,Apr,2021,35.39,-120.4,77948.0,38686.0,29547.0,39.5,282517.0,233297.0,4865.0,2383.0,10559.0,18720.0,64275.0,1274.0,3301,85.58527718873069,272.5499704442564,1.0618830017308694
San Mateo,411,61,42072,1222,Apr,2021,37.42,-122.33,128091.0,64450.0,46923.0,39.8,765623.0,369924.0,18104.0,3917.0,225027.0,57690.0,184490.0,41094.0,448,1708.9799107142858,159.6085802020054,7.9673677514912695
Santa Barbara,453,10,35194,1070,Apr,2021,34.65,-120.02,78925.0,38141.0,54621.0,33.8,444895.0,319547.0,8474.0,4941.0,24678.0,43286.0,203207.0,6141.0,2735,162.6672760511883,240.50618685307768,2.24772137245867
Santa Clara,1988,114,118990,3847,Apr,2021,37.23,-121.7,130890.0,59297.0,135771.0,37.2,1924379.0,801381.0,47379.0,9990.0,724855.0,143857.0,482101.0,39110.0,1290,1491.7666666666667,199.90864585406513,5.923988985537672
Santa Cruz,207,6,16779,696,Apr,2021,37.06,-122.01,89986.0,44278.0,31120.0,38.2,273170.0,195781.0,3472.0,1708.0,13563.0,19184.0,91876.0,2971.0,445,613.8651685393259,254.786396749277,2.196434454735147
Shasta,197,18,13343,665,Apr,2021,40.76,-122.04,57139.0,31049.0,26504.0,41.7,179267.0,152586.0,1912.0,4420.0,5772.0,10371.0,18566.0,410.0,3775,47.48794701986755,370.9550558663892,10.040888730218054
Sierra,0,0,65,3,Apr,2021,39.58,-120.52,52103.0,32533.0,271.0,54.0,2898.0,2722.0,3.0,69.0,0.0,16.0,293.0,4.0,953,3.0409233997901364,103.51966873706004,0.0
Siskiyou,11,4,1954,195,Apr,2021,41.59,-122.54,47403.0,29381.0,7294.0,47.7,43516.0,36195.0,668.0,1686.0,547.0,3434.0,5605.0,36.0,6278,6.931506849315069,448.1110396176119,9.192021325489476
Solano,249,14,32605,1394,Apr,2021,38.27,-121.94,84638.0,36685.0,39388.0,38.3,444538.0,225258.0,60991.0,2531.0,69169.0,41339.0,119294.0,5671.0,822,540.8004866180048,313.583990569985,3.1493370645479124
Sonoma,318,7,30151,664,Apr,2021,38.53,-122.89,86173.0,44071.0,43086.0,42.4,496801.0,360200.0,8266.0,4441.0,21239.0,34952.0,134024.0,3926.0,1576,315.2290609137056,133.6551254929036,1.4090148771842246
Stanislaus,971,33,60844,2435,Apr,2021,37.56,-121,62873.0,27225.0,73072.0,34.3,546235.0,384703.0,16961.0,4738.0,32003.0,47592.0,256424.0,1692.0,1495,365.3745819397993,445.778831455326,6.041355826704624
Sutter,110,4,9438,247,Apr,2021,39.03,-121.69,63502.0,29495.0,12460.0,35.8,96315.0,61307.0,1894.0,1061.0,15997.0,9518.0,30101.0,404.0,602,159.99169435215947,256.45018948242745,4.153039505788299
Tehama,53,1,5497,227,Apr,2021,40.13,-122.24,48895.0,29012.0,11922.0,40.6,64176.0,53987.0,420.0,865.0,1090.0,4452.0,16435.0,89.0,2950,21.75457627118644,353.7147843430566,1.5582149090002493
Trinity,3,0,408,8,Apr,2021,40.65,-123.11,41780.0,26228.0,2860.0,52.4,12541.0,10694.0,65.0,722.0,244.0,332.0,933.0,61.0,3179,3.9449512425290973,63.790766286580016,0.0
Tulare,835,19,57533,813,Apr,2021,36.22,-118.8,52534.0,22092.0,99610.0,31.2,463955.0,309798.0,7606.0,5955.0,17310.0,37160.0,301919.0,1120.0,4824,96.1764096185738,175.23251177377117,4.095224752400556
Tuolumne,61,4,4076,60,Apr,2021,38.03,-119.95,60509.0,35694.0,5564.0,48.7,54147.0,46905.0,1007.0,948.0,753.0,2789.0,6810.0,91.0,2221,24.379558757316524,110.80946312815115,7.387297541876743
Ventura,1005,36,83187,1012,Apr,2021,34.44,-119.09,89295.0,39403.0,74449.0,38.5,845599.0,637686.0,15422.0,6990.0,61239.0,71894.0,361648.0,3998.0,1843,458.8166033640803,119.6784764409608,4.257337106595443
Yolo,208,11,13988,458,Apr,2021,38.68,-121.9,73746.0,36036.0,39197.0,31.1,218774.0,145299.0,5694.0,1420.0,31584.0,21326.0,69341.0,4097.0,1015,215.54088669950738,209.34846005466827,5.0280197829723825
Yuba,44,0,5993,197,Apr,2021,39.26,-121.35,59424.0,25774.0,11420.0,33.0,77524.0,56990.0,2632.0,1030.0,5631.0,7561.0,22318.0,175.0,632,122.66455696202532,254.11485475465662,0.0
Alameda,1253,0,90395,1927,May,2021,37.65,-121.89,104888.0,49883.0,152060.0,37.8,1661584.0,631037.0,171922.0,11037.0,519249.0,130496.0,369546.0,114029.0,739,2248.4221921515564,115.97367331413881,0.0
Alpine,0,0,89,1,May,2021,38.6,-119.82,85750.0,37690.0,139.0,47.6,1159.0,663.0,10.0,360.0,6.0,111.0,183.0,4.0,738,1.570460704607046,86.28127696289906,0.0
Amador,46,0,3719,37,May,2021,38.45,-120.66,65187.0,33897.0,2872.0,49.9,39023.0,33040.0,931.0,276.0,375.0,2834.0,5591.0,35.0,595,65.58487394957983,94.81587781564718,0.0
Butte,193,0,14270,678,May,2021,39.67,-121.6,54972.0,30700.0,39676.0,36.9,223344.0,178568.0,3866.0,2628.0,10743.0,15608.0,37585.0,1010.0,1636,136.51833740831296,303.56759080163334,0.0
Calaveras,55,5,2186,86,May,2021,38.21,-120.55,67054.0,33027.0,5177.0,52.8,45828.0,40058.0,450.0,518.0,864.0,2912.0,5710.0,142.0,1020,44.92941176470588,187.6582002269355,10.910360478310203
Colusa,15,1,2268,46,May,2021,39.18,-122.23,59427.0,27614.0,2540.0,35.4,21491.0,17012.0,330.0,239.0,201.0,2308.0,12840.0,13.0,1151,18.671589921807126,214.0430878041971,4.6531106044390675
Contra Costa,813,13,70672,1782,May,2021,37.92,-121.93,103997.0,50118.0,93021.0,39.9,1147788.0,608789.0,98569.0,5191.0,200159.0,104757.0,295791.0,56093.0,723,1587.5352697095436,155.25515164821377,1.1326133397456672
Del Norte,8,2,1407,120,May,2021,41.74,-123.9,49981.0,24361.0,4223.0,40.0,27692.0,20002.0,747.0,1943.0,880.0,2160.0,5552.0,31.0,1006,27.526838966202785,433.3381482016467,7.2223024700274445
El Dorado,110,0,11017,397,May,2021,38.78,-120.52,83710.0,44651.0,16018.0,46.3,190345.0,164552.0,1586.0,1312.0,9111.0,8659.0,24773.0,926.0,1708,111.44320843091334,208.56865165883002,0.0
Fresno,1706,36,111155,1418,May,2021,36.76,-119.65,57109.0,25757.0,202296.0,32.4,990204.0,597574.0,46182.0,11604.0,105302.0,84357.0,528293.0,3740.0,5959,166.16949152542372,143.20281477352142,3.6356144794406
Glenn,18,1,2980,76,May,2021,39.6,-122.39,51682.0,23715.0,4201.0,35.9,28060.0,22478.0,218.0,631.0,877.0,886.0,11828.0,24.0,1314,21.354642313546425,270.848182466144,3.5637918745545263
Humboldt,42,6,4336,472,May,2021,40.7,-123.88,49235.0,29584.0,26210.0,38.9,136101.0,107151.0,1558.0,6162.0,3948.0,10757.0,16228.0,996.0,3568,38.14489910313901,346.8012725843308,4.4084907531906445
Imperial,736,15,31412,541,May,2021,33.04,-115.37,46222.0,18064.0,38408.0,32.5,180580.0,102305.0,4716.0,2111.0,2599.0,19433.0,152880.0,435.0,4177,43.23198467799856,299.5902093255067,8.306567726215528
Inyo,35,0,1415,7,May,2021,36.51,-117.41,59296.0,33404.0,1745.0,45.3,17930.0,13705.0,96.0,1924.0,279.0,1398.0,4115.0,60.0,10181,1.761123661722817,39.040713887339656,0.0
Kern,1389,36,110147,1602,May,2021,35.34,-118.73,54851.0,23855.0,175902.0,31.9,892458.0,603368.0,48530.0,8462.0,43381.0,75215.0,480700.0,2266.0,8132,109.74643384161338,179.50424557794318,4.033803271414453
Kings,244,0,24052,202,May,2021,36.07,-119.82,61556.0,22919.0,21908.0,32.0,151090.0,95764.0,9820.0,2232.0,5626.0,13228.0,82954.0,149.0,1389,108.77609791216703,133.69514858693495,0.0
Lake,45,2,3532,83,May,2021,39.1,-122.75,49254.0,29714.0,11057.0,45.3,64276.0,48712.0,1583.0,2540.0,940.0,3234.0,13667.0,160.0,1256,51.17515923566879,129.1306241832099,3.111581305619516
Lassen,18,0,5334,60,May,2021,40.67,-120.59,56971.0,20928.0,2769.0,36.8,30600.0,24181.0,2713.0,794.0,471.0,1345.0,5893.0,26.0,4541,6.73860383175512,196.078431372549,0.0
Los Angeles,24364,465,1244170,11079,May,2021,34.31,-118.23,71358.0,35685.0,1401656.0,36.7,10040682.0,4795186.0,810286.0,78132.0,1488626.0,729532.0,4851344.0,257977.0,4058,2474.293247905372,110.3411102950975,4.631159516853536
Madera,240,5,17477,173,May,2021,37.22,-119.77,61924.0,23212.0,28062.0,34.1,155925.0,94643.0,4919.0,2503.0,3362.0,11853.0,90958.0,224.0,2137,72.96443612540945,110.95077761744429,3.2066698733365397
Marin,229,1,14336,201,May,2021,38.07,-122.72,121671.0,74446.0,17522.0,47.1,259441.0,199068.0,6001.0,673.0,15060.0,17433.0,41737.0,10060.0,520,498.925,77.4742619709298,0.38544408940761093
Mariposa,7,0,458,17,May,2021,37.58,-119.91,50960.0,29882.0,2668.0,51.8,17319.0,15134.0,266.0,392.0,186.0,765.0,2041.0,99.0,1449,11.952380952380953,98.15809226860672,0.0
Mendocino,47,1,4049,192,May,2021,39.44,-123.39,52915.0,30351.0,13929.0,43.4,87110.0,69709.0,424.0,3789.0,1740.0,6565.0,22354.0,67.0,3506,24.845978322875073,220.41097462977845,1.1479738261967627
Merced,456,12,32224,470,May,2021,37.19,-120.72,56330.0,23677.0,50124.0,31.2,273661.0,139469.0,8190.0,2885.0,20881.0,16931.0,164836.0,948.0,1935,141.42687338501293,171.74533455625755,4.38498726526615
Modoc,3,0,505,25,May,2021,41.59,-120.72,51250.0,25578.0,1537.0,47.6,8853.0,7801.0,123.0,313.0,169.0,201.0,1317.0,0.0,3915,2.261302681992337,282.3901502315599,0.0
Mono,3,0,1292,17,May,2021,37.94,-118.89,64924.0,37103.0,1720.0,39.5,14395.0,11966.0,81.0,407.0,633.0,641.0,3893.0,1286.0,3049,4.7212200721548045,118.09656130600902,0.0
Monterey,379,0,44888,264,May,2021,36.22,-121.24,76943.0,32122.0,50052.0,34.7,432977.0,209849.0,11162.0,3072.0,25186.0,29647.0,255512.0,2438.0,3281,131.96494971045414,60.97321566734492,0.0
Napa,82,1,9983,159,May,2021,38.51,-122.33,92219.0,46912.0,10163.0,41.8,138572.0,98614.0,2862.0,961.0,10485.0,9742.0,47300.0,940.0,748,185.2566844919786,114.74179487919638,0.721646508674191
Nevada,72,2,5016,223,May,2021,39.3,-120.76,68333.0,41079.0,9345.0,50.5,99417.0,91597.0,410.0,496.0,1108.0,4484.0,9480.0,81.0,958,103.77557411273486,224.30771397245942,2.011728376434614
Orange,5065,108,272156,2055,May,2021,33.7,-117.76,94441.0,43049.0,317682.0,38.3,3170345.0,1826960.0,54061.0,15552.0,667534.0,217089.0,1071393.0,27645.0,791,4008.0214917825538,64.81944394064368,3.4065693165885733
Placer,293,6,24519,921,May,2021,39.06,-120.72,93677.0,46023.0,27745.0,42.2,391799.0,314938.0,6310.0,2204.0,31938.0,24914.0,55932.0,1830.0,1407,278.4641080312722,235.06951268379962,1.5313974767674243
Plumas,4,0,701,14,May,2021,40,-120.84,57233.0,34334.0,2310.0,51.9,18844.0,16679.0,279.0,350.0,232.0,941.0,1749.0,60.0,2553,7.381120250685468,74.29420505200594,0.0
Riverside,4442,30,302877,2124,May,2021,33.74,-115.99,70732.0,29913.0,300424.0,35.8,2437864.0,1358654.0,157908.0,18852.0,164464.0,190963.0,1204521.0,10987.0,7206,338.31029697474327,87.12545080447474,1.2305854633400386
Sacramento,1644,48,108083,3571,May,2021,38.45,-121.34,70684.0,34078.0,210174.0,36.4,1537948.0,839349.0,148884.0,9505.0,256464.0,140768.0,360204.0,15579.0,965,1593.7284974093263,232.19250585845555,3.121041803754093
San Benito,63,0,6183,51,May,2021,36.6,-121.07,85808.0,33841.0,5709.0,35.7,61547.0,45157.0,523.0,527.0,1745.0,7315.0,37015.0,171.0,1389,44.31029517638589,82.8635026890019,0.0
San Bernardino,4758,118,301915,2357,May,2021,34.84,-116.18,65761.0,26402.0,315656.0,33.6,2162532.0,1212480.0,176523.0,18369.0,159917.0,202057.0,1163038.0,11534.0,20057,107.8193149523857,108.99260681460437,5.456566654273787
San Diego,3756,54,295287,4636,May,2021,33.03,-116.74,82426.0,39737.0,353841.0,36.1,3323970.0,2213608.0,164042.0,24373.0,398526.0,286106.0,1126266.0,42978.0,4207,790.1045875921084,139.47177621940028,1.62456339858663
San Francisco,550,12,38303,606,May,2021,37.75,-122.44,119136.0,72041.0,87125.0,38.3,874784.0,392476.0,44930.0,3800.0,300339.0,62702.0,132865.0,161085.0,47,18612.425531914894,69.27424369901598,1.3717672019607126
San Joaquin,1383,77,76365,1664,May,2021,37.93,-121.27,68628.0,28928.0,100689.0,34.4,751615.0,387165.0,53116.0,4695.0,119446.0,106196.0,313385.0,5006.0,1391,540.3414809489576,221.38994032849263,10.244606613758373
San Luis Obispo,256,1,21954,363,May,2021,35.39,-120.4,77948.0,38686.0,29547.0,39.5,282517.0,233297.0,4865.0,2383.0,10559.0,18720.0,64275.0,1274.0,3301,85.58527718873069,128.48784320943517,0.35396100057695645
San Mateo,462,82,42851,814,May,2021,37.42,-122.33,128091.0,64450.0,46923.0,39.8,765623.0,369924.0,18104.0,3917.0,225027.0,57690.0,184490.0,41094.0,448,1708.9799107142858,106.31864507727694,10.710232059381706
Santa Barbara,456,5,35490,320,May,2021,34.65,-120.02,78925.0,38141.0,54621.0,33.8,444895.0,319547.0,8474.0,4941.0,24678.0,43286.0,203207.0,6141.0,2735,162.6672760511883,71.92708391867744,1.123860686229335
Santa Clara,2057,69,120274,1383,May,2021,37.23,-121.7,130890.0,59297.0,135771.0,37.2,1924379.0,801381.0,47379.0,9990.0,724855.0,143857.0,482101.0,39110.0,1290,1491.7666666666667,71.86734006139123,3.58557228072017
Santa Cruz,207,0,16940,170,May,2021,37.06,-122.01,89986.0,44278.0,31120.0,38.2,273170.0,195781.0,3472.0,1708.0,13563.0,19184.0,91876.0,2971.0,445,613.8651685393259,62.23230955082915,0.0
Shasta,199,2,13988,678,May,2021,40.76,-122.04,57139.0,31049.0,26504.0,41.7,179267.0,152586.0,1912.0,4420.0,5772.0,10371.0,18566.0,410.0,3775,47.48794701986755,378.2068088382134,1.1156543033575617
Sierra,0,0,67,2,May,2021,39.58,-120.52,52103.0,32533.0,271.0,54.0,2898.0,2722.0,3.0,69.0,0.0,16.0,293.0,4.0,953,3.0409233997901364,69.01311249137336,0.0
Siskiyou,21,10,2216,290,May,2021,41.59,-122.54,47403.0,29381.0,7294.0,47.7,43516.0,36195.0,668.0,1686.0,547.0,3434.0,5605.0,36.0,6278,6.931506849315069,666.421546097987,22.98005331372369
Solano,256,7,33504,976,May,2021,38.27,-121.94,84638.0,36685.0,39388.0,38.3,444538.0,225258.0,60991.0,2531.0,69169.0,41339.0,119294.0,5671.0,822,540.8004866180048,219.55378392848306,1.5746685322739562
Sonoma,322,4,30659,529,May,2021,38.53,-122.89,86173.0,44071.0,43086.0,42.4,496801.0,360200.0,8266.0,4441.0,21239.0,34952.0,134024.0,3926.0,1576,315.2290609137056,106.48126714720783,0.8051513583909855
Stanislaus,990,20,62320,1546,May,2021,37.56,-121,62873.0,27225.0,73072.0,34.3,546235.0,384703.0,16961.0,4738.0,32003.0,47592.0,256424.0,1692.0,1495,365.3745819397993,283.0283669116772,3.661427773760378
Sutter,111,1,9613,180,May,2021,39.03,-121.69,63502.0,29495.0,12460.0,35.8,96315.0,61307.0,1894.0,1061.0,15997.0,9518.0,30101.0,404.0,602,159.99169435215947,186.88677776047345,1.0382598764470747
Tehama,63,10,5650,159,May,2021,40.13,-122.24,48895.0,29012.0,11922.0,40.6,64176.0,53987.0,420.0,865.0,1090.0,4452.0,16435.0,89.0,2950,21.75457627118644,247.75617053103966,15.582149090002492
Trinity,3,0,419,11,May,2021,40.65,-123.11,41780.0,26228.0,2860.0,52.4,12541.0,10694.0,65.0,722.0,244.0,332.0,933.0,61.0,3179,3.9449512425290973,87.71230364404752,0.0
Tulare,845,9,58336,840,May,2021,36.22,-118.8,52534.0,22092.0,99610.0,31.2,463955.0,309798.0,7606.0,5955.0,17310.0,37160.0,301919.0,1120.0,4824,96.1764096185738,181.05204168507723,1.9398433037686844
Tuolumne,63,2,4137,63,May,2021,38.03,-119.95,60509.0,35694.0,5564.0,48.7,54147.0,46905.0,1007.0,948.0,753.0,2789.0,6810.0,91.0,2221,24.379558757316524,116.34993628455871,3.6936487709383714
Ventura,1021,17,83975,829,May,2021,34.44,-119.09,89295.0,39403.0,74449.0,38.5,845599.0,637686.0,15422.0,6990.0,61239.0,71894.0,361648.0,3998.0,1843,458.8166033640803,98.03701281576728,2.010409189225626
Yolo,210,2,14307,347,May,2021,38.68,-121.9,73746.0,36036.0,39197.0,31.1,218774.0,145299.0,5694.0,1420.0,31584.0,21326.0,69341.0,4097.0,1015,215.54088669950738,158.61116951740152,0.9141854150858878
Yuba,48,4,6193,205,May,2021,39.26,-121.35,59424.0,25774.0,11420.0,33.0,77524.0,56990.0,2632.0,1030.0,5631.0,7561.0,22318.0,175.0,632,122.66455696202532,264.43423971931276,5.159692482328053
Alameda,1253,0,91644,1267,Jun,2021,37.65,-121.89,104888.0,49883.0,152060.0,37.8,1661584.0,631037.0,171922.0,11037.0,519249.0,130496.0,369546.0,114029.0,739,2248.4221921515564,76.25253974520699,0.0
Alpine,0,0,89,0,Jun,2021,38.6,-119.82,85750.0,37690.0,139.0,47.6,1159.0,663.0,10.0,360.0,6.0,111.0,183.0,4.0,738,1.570460704607046,0.0,0.0
Amador,46,0,3790,71,Jun,2021,38.45,-120.66,65187.0,33897.0,2872.0,49.9,39023.0,33040.0,931.0,276.0,375.0,2834.0,5591.0,35.0,595,65.58487394957983,181.94398175435,0.0
Butte,201,8,14583,311,Jun,2021,39.67,-121.6,54972.0,30700.0,39676.0,36.9,223344.0,178568.0,3866.0,2628.0,10743.0,15608.0,37585.0,1010.0,1636,136.51833740831296,139.24708073644246,3.5819184755354967
Calaveras,55,0,2213,29,Jun,2021,38.21,-120.55,67054.0,33027.0,5177.0,52.8,45828.0,40058.0,450.0,518.0,864.0,2912.0,5710.0,142.0,1020,44.92941176470588,63.28009077419918,0.0
Colusa,15,0,2291,23,Jun,2021,39.18,-122.23,59427.0,27614.0,2540.0,35.4,21491.0,17012.0,330.0,239.0,201.0,2308.0,12840.0,13.0,1151,18.671589921807126,107.02154390209856,0.0
Contra Costa,818,5,72256,1599,Jun,2021,37.92,-121.93,103997.0,50118.0,93021.0,39.9,1147788.0,608789.0,98569.0,5191.0,200159.0,104757.0,295791.0,56093.0,723,1587.5352697095436,139.31144078871708,0.43562051528679513
Del Norte,8,0,1452,45,Jun,2021,41.74,-123.9,49981.0,24361.0,4223.0,40.0,27692.0,20002.0,747.0,1943.0,880.0,2160.0,5552.0,31.0,1006,27.526838966202785,162.5018055756175,0.0
El Dorado,113,3,11223,208,Jun,2021,38.78,-120.52,83710.0,44651.0,16018.0,46.3,190345.0,164552.0,1586.0,1312.0,9111.0,8659.0,24773.0,926.0,1708,111.44320843091334,109.2752633376238,1.5760855289080355
Fresno,1727,21,111209,81,Jun,2021,36.76,-119.65,57109.0,25757.0,202296.0,32.4,990204.0,597574.0,46182.0,11604.0,105302.0,84357.0,528293.0,3740.0,5959,166.16949152542372,8.18013257874135,2.1207751130070167
Glenn,20,2,3008,29,Jun,2021,39.6,-122.39,51682.0,23715.0,4201.0,35.9,28060.0,22478.0,218.0,631.0,877.0,886.0,11828.0,24.0,1314,21.354642313546425,103.34996436208125,7.127583749109053
Humboldt,49,7,4581,249,Jun,2021,40.7,-123.88,49235.0,29584.0,26210.0,38.9,136101.0,107151.0,1558.0,6162.0,3948.0,10757.0,16228.0,996.0,3568,38.14489910313901,182.95236625741177,5.143239212055753
Imperial,739,3,31356,0,Jun,2021,33.04,-115.37,46222.0,18064.0,38408.0,32.5,180580.0,102305.0,4716.0,2111.0,2599.0,19433.0,152880.0,435.0,4177,43.23198467799856,0.0,1.6613135452431056
Inyo,35,0,1424,9,Jun,2021,36.51,-117.41,59296.0,33404.0,1745.0,45.3,17930.0,13705.0,96.0,1924.0,279.0,1398.0,4115.0,60.0,10181,1.761123661722817,50.1952035694367,0.0
Kern,1407,18,111060,929,Jun,2021,35.34,-118.73,54851.0,23855.0,175902.0,31.9,892458.0,603368.0,48530.0,8462.0,43381.0,75215.0,480700.0,2266.0,8132,109.74643384161338,104.09453442066742,2.0169016357072267
Kings,245,1,24146,94,Jun,2021,36.07,-119.82,61556.0,22919.0,21908.0,32.0,151090.0,95764.0,9820.0,2232.0,5626.0,13228.0,82954.0,149.0,1389,108.77609791216703,62.214574094910326,0.6618571712224502
Lake,62,17,3636,104,Jun,2021,39.1,-122.75,49254.0,29714.0,11057.0,45.3,64276.0,48712.0,1583.0,2540.0,940.0,3234.0,13667.0,160.0,1256,51.17515923566879,161.80222789221483,26.448441097765887
Lassen,19,1,5415,84,Jun,2021,40.67,-120.59,56971.0,20928.0,2769.0,36.8,30600.0,24181.0,2713.0,794.0,471.0,1345.0,5893.0,26.0,4541,6.73860383175512,274.5098039215686,3.2679738562091507
Los Angeles,24499,139,1250740,6686,Jun,2021,34.31,-118.23,71358.0,35685.0,1401656.0,36.7,10040682.0,4795186.0,810286.0,78132.0,1488626.0,729532.0,4851344.0,257977.0,4058,2474.293247905372,66.5891022143715,1.3843681136400894
Madera,240,0,17637,167,Jun,2021,37.22,-119.77,61924.0,23212.0,28062.0,34.1,155925.0,94643.0,4919.0,2503.0,3362.0,11853.0,90958.0,224.0,2137,72.96443612540945,107.10277376944043,0.0
Marin,233,4,14404,69,Jun,2021,38.07,-122.72,121671.0,74446.0,17522.0,47.1,259441.0,199068.0,6001.0,673.0,15060.0,17433.0,41737.0,10060.0,520,498.925,26.595642169125156,1.5417763576304437
Mariposa,7,0,467,13,Jun,2021,37.58,-119.91,50960.0,29882.0,2668.0,51.8,17319.0,15134.0,266.0,392.0,186.0,765.0,2041.0,99.0,1449,11.952380952380953,75.06207055834632,0.0
Mendocino,49,2,4207,163,Jun,2021,39.44,-123.39,52915.0,30351.0,13929.0,43.4,87110.0,69709.0,424.0,3789.0,1740.0,6565.0,22354.0,67.0,3506,24.845978322875073,187.11973367007232,2.2959476523935254
